NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;
10;2;1;2:18.204;0;;43.105;0;48.028;0;47.071;0;142.5;2:18.204;11:47:46.534;0:43.105;0:48.028;0:47.071;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;2;2:04.635;0;;27.804;0;49.111;0;47.720;0;158.0;4:22.839;11:49:51.169;0:27.804;0:49.111;0:47.720;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;FCY;
10;2;3;2:29.693;0;;32.261;0;59.028;0;58.404;0;131.6;6:52.532;11:52:20.862;0:32.261;0:59.028;0:58.404;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;FCY;
10;2;4;2:53.161;0;;43.585;0;1:12.005;0;57.571;0;113.8;9:45.693;11:55:14.023;0:43.585;1:12.005;0:57.571;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;5;2:04.585;0;;28.918;0;46.795;0;48.872;0;158.1;11:50.278;11:57:18.608;0:28.918;0:46.795;0:48.872;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;6;2:01.979;0;;27.971;0;46.655;0;47.353;0;161.5;13:52.257;11:59:20.587;0:27.971;0:46.655;0:47.353;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;7;2:02.747;0;;28.375;0;46.669;0;47.703;0;160.5;15:55.004;12:01:23.334;0:28.375;0:46.669;0:47.703;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;8;2:03.631;0;;28.018;0;46.511;0;49.102;0;159.3;17:58.635;12:03:26.965;0:28.018;0:46.511;0:49.102;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;9;2:02.033;0;;27.851;0;46.973;0;47.209;0;161.4;20:00.668;12:05:28.998;0:27.851;0:46.973;0:47.209;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;10;2:01.480;0;;27.898;0;46.443;1;47.139;0;162.2;22:02.148;12:07:30.478;0:27.898;0:46.443;0:47.139;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;11;2:01.869;0;;27.899;0;46.631;0;47.339;0;161.6;24:04.017;12:09:32.347;0:27.899;0:46.631;0:47.339;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;12;2:02.378;0;;27.862;0;46.930;0;47.586;0;161.0;26:06.395;12:11:34.725;0:27.862;0:46.930;0:47.586;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;13;2:02.356;0;;28.136;0;46.848;0;47.372;0;161.0;28:08.751;12:13:37.081;0:28.136;0:46.848;0:47.372;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;14;2:02.029;0;;27.912;0;46.624;0;47.493;0;161.4;30:10.780;12:15:39.110;0:27.912;0:46.624;0:47.493;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;15;2:02.613;0;;27.870;0;46.883;0;47.860;0;160.7;32:13.393;12:17:41.723;0:27.870;0:46.883;0:47.860;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;16;2:01.611;0;;27.747;1;46.537;0;47.327;0;162.0;34:15.004;12:19:43.334;0:27.747;0:46.537;0:47.327;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;17;2:02.626;0;;27.919;0;46.786;0;47.921;0;160.6;36:17.630;12:21:45.960;0:27.919;0:46.786;0:47.921;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;18;2:02.096;0;;27.845;0;46.921;0;47.330;0;161.3;38:19.726;12:23:48.056;0:27.845;0:46.921;0:47.330;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;19;2:02.029;0;;27.923;0;46.623;0;47.483;0;161.4;40:21.755;12:25:50.085;0:27.923;0:46.623;0:47.483;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;20;2:02.101;0;;27.983;0;46.617;0;47.501;0;161.3;42:23.856;12:27:52.186;0:27.983;0:46.617;0:47.501;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;21;2:01.884;0;;27.942;0;46.527;0;47.415;0;161.6;44:25.740;12:29:54.070;0:27.942;0:46.527;0:47.415;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;22;2:01.748;0;;27.941;0;46.582;0;47.225;0;161.8;46:27.488;12:31:55.818;0:27.941;0:46.582;0:47.225;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;23;2:03.058;0;;27.835;0;47.245;0;47.978;0;160.1;48:30.546;12:33:58.876;0:27.835;0:47.245;0:47.978;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;24;2:02.694;0;;28.083;0;46.598;0;48.013;0;160.5;50:33.240;12:36:01.570;0:28.083;0:46.598;0:48.013;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;25;2:01.785;0;;27.822;0;46.929;0;47.034;1;161.7;52:35.025;12:38:03.355;0:27.822;0:46.929;0:47.034;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;GF;
10;2;26;3:18.296;0;B;28.155;0;47.608;0;2:02.533;0;99.3;55:53.321;12:41:21.651;0:28.155;0:47.608;2:02.533;;Christina Lam;;TCR;;Rockwell Autosport Development;Audi;FCY;
10;1;27;2:47.348;0;;44.606;0;51.969;0;1:10.773;0;117.7;58:40.669;12:44:08.999;0:44.606;0:51.969;1:10.773;;Eric Rockwell;0:01:30.780;TCR;;Rockwell Autosport Development;Audi;FCY;
10;1;28;11:12.065;0;B;46.660;0;1:09.337;0;9:16.068;0;29.3;1:09:52.734;12:55:21.064;0:46.660;1:09.337;9:16.068;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;29;2:13.483;0;;39.930;0;46.973;0;46.580;0;147.6;1:12:06.217;12:57:34.547;0:39.930;0:46.973;0:46.580;;Eric Rockwell;0:08:27.544;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;30;1:58.431;2;;27.546;0;44.683;2;46.202;2;166.3;1:14:04.648;12:59:32.978;0:27.546;0:44.683;0:46.202;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;31;1:58.511;0;;27.546;0;44.753;0;46.212;0;166.2;1:16:03.159;13:01:31.489;0:27.546;0:44.753;0:46.212;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;32;1:59.487;0;;27.365;2;45.211;0;46.911;0;164.9;1:18:02.646;13:03:30.976;0:27.365;0:45.211;0:46.911;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;33;2:00.112;0;;27.783;0;45.843;0;46.486;0;164.0;1:20:02.758;13:05:31.088;0:27.783;0:45.843;0:46.486;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;34;1:58.557;0;;27.500;0;44.758;0;46.299;0;166.2;1:22:01.315;13:07:29.645;0:27.500;0:44.758;0:46.299;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;35;1:59.086;0;;27.532;0;44.988;0;46.566;0;165.4;1:24:00.401;13:09:28.731;0:27.532;0:44.988;0:46.566;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;36;1:59.173;0;;27.560;0;45.076;0;46.537;0;165.3;1:25:59.574;13:11:27.904;0:27.560;0:45.076;0:46.537;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;37;2:03.062;0;;27.517;0;45.736;0;49.809;0;160.1;1:28:02.636;13:13:30.966;0:27.517;0:45.736;0:49.809;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;38;1:59.444;0;;28.017;0;44.800;0;46.627;0;164.9;1:30:02.080;13:15:30.410;0:28.017;0:44.800;0:46.627;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
10;1;39;2:00.040;0;;27.600;0;44.911;0;47.529;0;164.1;1:32:02.120;13:17:30.450;0:27.600;0:44.911;0:47.529;;Eric Rockwell;;TCR;;Rockwell Autosport Development;Audi;GF;
